date and time,content
2022-02-03 21:32:56+00:00,"If things go well, Falcon will launch about once a week on average in 2022, delivering ~2/3 of all Earth payload to orbit"
2022-02-03 20:50:45+00:00,Congrats SpaceX Falcon team!
2022-02-02 16:43:49+00:00,"SpaceX standard antenna production rises rapidly this year, so those with orders shouldn’t have to wait long.

Note, Starlink can only support a limited number of users in an area, so best to order early."
2022-02-02 10:37:30+00:00,"Exciting progress at Starbase, Texas!"
2022-02-02 05:28:41+00:00,Starlink high performance antenna https://t.co/83kIQSNV3l
2022-01-31 21:54:22+00:00,"Denmark just ended Covid restrictions
 https://t.co/tg12nar2CJ"
2022-01-31 06:39:35+00:00,https://t.co/dFwIuBVcD0
2022-01-30 22:51:10+00:00,Halo Infinite campaign is good
2022-01-30 20:04:38+00:00,"For reasons unknown, @potus is unable to say the word “Tesla”"
2022-01-30 18:52:01+00:00,So many Hitlers! https://t.co/52sUuPcB93
2022-01-30 17:38:35+00:00,https://t.co/QEwmhecTmE
2022-01-30 08:26:30+00:00,https://t.co/wTIHLyVkYw
2022-01-29 23:39:10+00:00,Just rewatched True Romance ♥️
2022-01-29 11:21:38+00:00,Lie back and think of Mars
2022-01-29 06:48:49+00:00,https://t.co/ryK36jvxNx
2022-01-29 05:25:18+00:00,The Universe is a Hydrogen Sonata
